Date,Time,Title Job,Job ID,Title,Hebrew Title,Link
2025-07-13,21:51:32,student,Job 1,Signal and Power Integrity Student,סטודנט של יושרה של איתות וכוח,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Signal-and-Power-Integrity-Student_JR1992131?q=student&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:32,student,Job 2,Senior Tools Engineer,מהנדס כלים בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Tools-Engineer_JR1998549-1?q=student&locations=970bf8c909a701c749f87bdcd4008607
,,,,,,
2025-07-13,21:51:42,intern,Job 1,Signal and Power Integrity Student,סטודנט של יושרה של איתות וכוח,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Signal-and-Power-Integrity-Student_JR1992131?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:42,intern,Job 2,Senior Software and DevOps Development Engineer,מהנדס פיתוח תוכנה ובכירה של DevOps,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Software-and-DevOps-Development-Engineer_JR1999761?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:43,intern,Job 3,"Senior Manager, IC Test Labs","מנהל בכיר, מעבדות מבחן IC",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Manager--Production-Infrastructure-Equipment_JR1996202?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:43,intern,Job 4,Senior Hardware Engineer – Ethernet Switch,מהנדס חומרה בכיר - מתג Ethernet,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Hardware-Engineer---Ethernet-Switch_JR1998448?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:45,intern,Job 5,Lab Infrastructure and Integrated Systems Engineer,תשתיות מעבדה ומהנדס מערכות משולבות,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Lab-Infrastructure-and-Integrated-Systems-Engineer_JR1998193?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:45,intern,Job 6,Senior Quality and Reliability Engineer,מהנדס איכות ואמינות בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Quality-and-Reliability-Engineer_JR1998178?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:45,intern,Job 7,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1998662-1?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:46,intern,Job 8,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1998663-1?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:46,intern,Job 9,Senior HPC AI Cluster Engineer,מהנדס אשכול בכיר HPC AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-HPC-AI-Engineer_JR1983627?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:46,intern,Job 10,VLSI CAD Engineer,מהנדס VLSI CAD,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/VLSI-CAD-Engineer_JR1998301-1?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:47,intern,Job 11,Senior System Validation Infrastructure Developer,מפתח תשתיות אימות מערכות בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-System-Validation-Infrastructure-Developer_JR1998740?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:47,intern,Job 12,Senior Networking Security Research Architect,אדריכל מחקרי אבטחה בכיר ברשת,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Networking-Security-Research-Architect_JR1993170-1?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:48,intern,Job 13,Senior Chip NPI & MP Manufacturing Controller,בקר בכיר NPI ו- MP,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Chip-NPI---MP-Manufacturing-Controller_JR1999408?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:48,intern,Job 14,Senior Power U-Architect,ארכיטקט U-ארכיטקטור בכוח בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Power-U-Architect_JR1998014?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:48,intern,Job 15,DFT Engineer,מהנדס DFT,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/DFT-Engineer_JR1998057-1?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:48,intern,Job 16,Senior DFT Engineer,מהנדס DFT בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-DFT-Engineer_JR1998056?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:49,intern,Job 17,Senior Embedded SW Engineer,מהנדס SW משובץ בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Embedded-SW-Engineer_JR1999330?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:50,intern,Job 18,"Senior DFT Engineer, ATPG","מהנדס DFT בכיר, ATPG",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-DFT-Engineer--ATPG_JR1988968?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:50,intern,Job 19,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1994183?q=intern&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:51:52,intern,Job 20,DFT ATPG Engineer,מהנדס DFT ATPG,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/DFT-ATPG-Engineer_JR1998055?q=intern&locations=970bf8c909a701c749f87bdcd4008607
,,,,,,
2025-07-13,21:52:02,data,Job 1,Senior Data Scientist and System Architect,מדען נתונים בכיר ואדריכל מערכות,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Data-Scientist-and-System-Architect_JR1996660?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:03,data,Job 2,HPC and AI Data Center Engineer,מהנדס מרכז הנתונים של HPC ו- AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/HPC-and-AI-Data-Center-Engineer_JR1999592?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:03,data,Job 3,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1994183?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:03,data,Job 4,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1998662-1?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:04,data,Job 5,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1998663-1?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:04,data,Job 6,Senior System Product Engineer,מהנדס מוצרי מערכת בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-System-Product-Engineer_JR1997709?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:04,data,Job 7,Senior Software Engineer,מהנדס תוכנה בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Software-Engineer_JR1986384?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:04,data,Job 8,Senior ML Engineer,מהנדס ML בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-ML-Engineer_JR1993435?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:05,data,Job 9,Senior Thermal Validation Engineer,מהנדס אימות תרמי בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Thermal-Validation-Engineer_JR1998654?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:05,data,Job 10,Senior VLSI CAD and AI Automation Engineer,מהנדס אוטומציה של VLSI CAD ו- AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-VLSI-CAD-and-AI-Automation-Engineer_JR1997583?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:05,data,Job 11,Senior GTM Program Manager,מנהל תכנית בכיר ב- GTM,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-GTM-Program-Manager_JR1995613-1?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:06,data,Job 12,"Senior Board Design Engineer, Sustain","מהנדס תכנון דירקטוריון בכיר, לקיים",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Board-Design-Engineer--Sustain_JR1998657?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:07,data,Job 13,Senior Network Test Engineer,מהנדס בדיקות רשת בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Network-Test-Engineer_JR1999033?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:07,data,Job 14,Senior Board Design Hardware Engineer,מהנדס חומרי חומרה בכיר לעיצוב מועצה,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Raanana/Senior-Board-Design-Hardware-Engineer_JR1995098?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:07,data,Job 15,Senior Power U-Architect,ארכיטקט U-ארכיטקטור בכוח בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Power-U-Architect_JR1998014?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:08,data,Job 16,Senior Reliability Engineer,מהנדס אמינות בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Reliability-Engineer_JR1995152?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:08,data,Job 17,Senior Firmware Engineer,מהנדס קושחה בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Firmware-Engineer_JR1999095?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:08,data,Job 18,Senior Tools Engineer,מהנדס כלים בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Tools-Engineer_JR1998549-1?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:09,data,Job 19,Senior Firmware Engineer,מהנדס קושחה בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Firmware-Engineer_JR1999003?q=data&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:10,data,Job 20,"Software Engineer, DOCA","תוכנת מהנדסת, מזח",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Software-Engineer--DOCA_JR1999755?q=data&locations=970bf8c909a701c749f87bdcd4008607
,,,,,,
2025-07-13,21:52:21,ai,Job 1,Senior AI Safety Researcher,חוקר בטיחות בכיר ב- AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/AI-Safety-Researcher_JR1997755?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:21,ai,Job 2,Senior HPC AI Cluster Engineer,מהנדס אשכול בכיר HPC AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-HPC-AI-Engineer_JR1983627?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:22,ai,Job 3,Senior AI Networking Optimizations Architect,אדריכל אופטימיזציות ברשת בכיר ב- AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-AI-Networking-Optimizations-Architect_JR1997699?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:22,ai,Job 4,Senior AI Storage Software Architect,אדריכל תוכנת אחסון בכיר ב- AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Raanana/Senior-AI-Storage-Software-Architect_JR1997866?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:22,ai,Job 5,"Senior Software Architect, AI Cloud","אדריכל תוכנה בכיר, AI Cloud",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Software-Architect--AI-Cloud-Infrastructure_JR1998545?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:23,ai,Job 6,Senior AI System Security Architect - Networking,אדריכל אבטחת מערכות AI בכיר - רשת,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-AI-System-Security-Architect---Networking_JR1994508?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:23,ai,Job 7,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1994183?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:23,ai,Job 8,HPC and AI Data Center Engineer,מהנדס מרכז הנתונים של HPC ו- AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/HPC-and-AI-Data-Center-Engineer_JR1999592?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:23,ai,Job 9,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1998662-1?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:24,ai,Job 10,"Senior Customer Program Manager, AI Datacenter","מנהל תכנית לקוחות בכיר, מרכז נתונים AI",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Customer-Program-Manager--AI-Datacenter_JR1998663-1?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:24,ai,Job 11,Senior VLSI CAD and AI Automation Engineer,מהנדס אוטומציה של VLSI CAD ו- AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-VLSI-CAD-and-AI-Automation-Engineer_JR1997583?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:24,ai,Job 12,Continuous Bring Up Solution Architect - NVIS,אדריכל הפתרונות המתמשך - NVIS,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Continuous-Bring-Up-Solution-Architect---NVIS_JR1996791?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:24,ai,Job 13,"Senior Software Architect, Advanced Development","אדריכל תוכנה בכיר, פיתוח מתקדם",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Software-Architect--Advanced-Development_JR1998551?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:25,ai,Job 14,Senior Firmware PCIe Application Engineer,מהנדס יישומי PCIE בכירים ב- PCIE,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Firmware-PCIe-Application-Engineer_JR1999281?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:25,ai,Job 15,"Senior Software Architect, Accelerated Computing SDN","אדריכל תוכנה בכיר, SDN מחשוב מואץ",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Software-Architect--Accelerated-Computing-SDN_JR1985933?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:25,ai,Job 16,"Director, Hardware Architecture",מנהל ארכיטקטורת חומרה,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Raanana/Director--Hardware-Architecture_JR1997410?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:25,ai,Job 17,Senior Performance Analysis Engineer,מהנדס ניתוח ביצועים בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Performance-Analysis-Engineer_JR1998088?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:26,ai,Job 18,Senior Data Scientist and System Architect,מדען נתונים בכיר ואדריכל מערכות,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Data-Scientist-and-System-Architect_JR1996660?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:26,ai,Job 19,Network Modeling Architect,אדריכל דוגמנות רשת,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Network-Modeling-Architect_JR1998167?q=ai&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:26,ai,Job 20,Senior Networking Serdes Application Engineer,מהנדס יישומי SERDES בכיר ברשת,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Networking-Serdes-Application-Engineer_JR1998240?q=ai&locations=970bf8c909a701c749f87bdcd4008607
,,,,,,
2025-07-13,21:52:37,deep,Job 1,Senior Software Architect - Deep Learning and HPC Communications,אדריכל תוכנה בכיר - למידה עמוקה ותקשורת HPC,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Software-Architect---Deep-Learning-and-HPC-Communications_JR1998164?q=deep&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:38,deep,Job 2,STA Engineer,מהנדס STA,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/STA-Engineer_JR1999251?q=deep&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:38,deep,Job 3,"Senior Software Architect, Advanced Development","אדריכל תוכנה בכיר, פיתוח מתקדם",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Software-Architect--Advanced-Development_JR1998551?q=deep&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:38,deep,Job 4,Senior Performance Analysis Engineer,מהנדס ניתוח ביצועים בכיר,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Performance-Analysis-Engineer_JR1998088?q=deep&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:39,deep,Job 5,"Senior Product Manager, ASIC Simulation","מנהל מוצר בכיר, סימולציה של ASIC",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Raanana/Senior-Product-Manager--ASIC-Simulation_JR1992290?q=deep&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:40,deep,Job 6,"Senior System Software Engineer, NCCL - Partner Enablement","מהנדס תוכנת מערכת בכיר, NCCL - הפעלת שותפים",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-System-Software-Engineer--NCCL---Partner-Enablement_JR1998163?q=deep&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:40,deep,Job 7,Senior HPC AI Cluster Engineer,מהנדס אשכול בכיר HPC AI,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-HPC-AI-Engineer_JR1983627?q=deep&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:40,deep,Job 8,Senior HPC DevOps Engineer,מהנדס בכיר ב- HPC DevOps,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-HPC-DevOps-Engineer_JR1992821?q=deep&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:40,deep,Job 9,VLSI CAD Engineer,מהנדס VLSI CAD,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/VLSI-CAD-Engineer_JR1998301-1?q=deep&locations=970bf8c909a701c749f87bdcd4008607
2025-07-13,21:52:41,deep,Job 10,Senior Analog Mixed Signal Design Engineer,מהנדס עיצוב אותות מעורבים אנלוגיים,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Analog-Mixed-Signal-Design-Engineer_JR1998833-1?q=deep&locations=970bf8c909a701c749f87bdcd4008607
