,function,taylor series,real value at x=1,integral between 0 to 1
0,x**2*sin(x) + 1,"+ ((1)/1)*(x**0)+0
+ ((6)/6)*(x**3)+0
+ ((-20)/120)*(x**5)+0
+ ((42)/5040)*(x**7)+0
+ ((-72)/362880)*(x**9)+0
+ ((110)/39916800)*(x**11)+0
+ ((-156)/6227020800)*(x**13)+0
+ ((210)/1307674368000)*(x**15)+0
+ ((-272)/355687428096000)*(x**17)+0
+ ((342)/121645100408832000)*(x**19)+0
",sin(1) + 1,integral bodes 0-1 = 1.2232442755
1,sin(x)/(x + 1),"+ ((1)/1)*(x**1)+0
+ ((-2)/2)*(x**2)+0
+ ((5)/6)*(x**3)+0
+ ((-20)/24)*(x**4)+0
+ ((101)/120)*(x**5)+0
+ ((-606)/720)*(x**6)+0
+ ((4241)/5040)*(x**7)+0
+ ((-33928)/40320)*(x**8)+0
+ ((305353)/362880)*(x**9)+0
+ ((-3053530)/3628800)*(x**10)+0
+ ((33588829)/39916800)*(x**11)+0
+ ((-403065948)/479001600)*(x**12)+0
+ ((5239857325)/6227020800)*(x**13)+0
+ ((-73358002550)/87178291200)*(x**14)+0
+ ((1100370038249)/1307674368000)*(x**15)+0
+ ((-17605920611984)/20922789888000)*(x**16)+0
+ ((299300650403729)/355687428096000)*(x**17)+0
+ ((-5387411707267122)/6402373705728000)*(x**18)+0
+ ((102360822438075317)/121645100408832000)*(x**19)+0
",sin(1) + 1,integral bodes 0-1 = 0.3047384949
2,exp(-x)*cos(x),"+ ((1)/1)*(x**0)+0
+ ((-1)/1)*(x**1)+0
+ ((2)/6)*(x**3)+0
+ ((-4)/24)*(x**4)+0
+ ((4)/120)*(x**5)+0
+ ((-8)/5040)*(x**7)+0
+ ((16)/40320)*(x**8)+0
+ ((-16)/362880)*(x**9)+0
+ ((32)/39916800)*(x**11)+0
+ ((-64)/479001600)*(x**12)+0
+ ((64)/6227020800)*(x**13)+0
+ ((-128)/1307674368000)*(x**15)+0
+ ((256)/20922789888000)*(x**16)+0
+ ((-256)/355687428096000)*(x**17)+0
+ ((512)/121645100408832000)*(x**19)+0
",exp(-1)*cos(1),integral bodes 0-1 = 0.5553968827
3,1/(x**2 + 1),"+ ((1)/1)*(x**0)+0
+ ((-2)/2)*(x**2)+0
+ ((24)/24)*(x**4)+0
+ ((-720)/720)*(x**6)+0
+ ((40320)/40320)*(x**8)+0
+ ((-3628800)/3628800)*(x**10)+0
+ ((479001600)/479001600)*(x**12)+0
+ ((-87178291200)/87178291200)*(x**14)+0
+ ((20922789888000)/20922789888000)*(x**16)+0
+ ((-6402373705728000)/6402373705728000)*(x**18)+0
",1/2,integral bodes 0-1 = 0.7604599047
4,log(x + 2),"+ ((log(2))/1)*(x**0)+0
+ ((1/2)/1)*(x**1)+0
+ ((-1/4)/2)*(x**2)+0
+ ((1/4)/6)*(x**3)+0
+ ((-3/8)/24)*(x**4)+0
+ ((3/4)/120)*(x**5)+0
+ ((-15/8)/720)*(x**6)+0
+ ((45/8)/5040)*(x**7)+0
+ ((-315/16)/40320)*(x**8)+0
+ ((315/4)/362880)*(x**9)+0
+ ((-2835/8)/3628800)*(x**10)+0
+ ((14175/8)/39916800)*(x**11)+0
+ ((-155925/16)/479001600)*(x**12)+0
+ ((467775/8)/6227020800)*(x**13)+0
+ ((-6081075/16)/87178291200)*(x**14)+0
+ ((42567525/16)/1307674368000)*(x**15)+0
+ ((-638512875/32)/20922789888000)*(x**16)+0
+ ((638512875/4)/355687428096000)*(x**17)+0
+ ((-10854718875/8)/6402373705728000)*(x**18)+0
+ ((97692469875/8)/121645100408832000)*(x**19)+0
",log(3),integral bodes 0-1 = 0.9095425064
5,x**2 + 1,"+ ((1)/1)*(x**0)+0
+ ((2)/2)*(x**2)+0
",2,integral bodes 0-1 = 1.3333333333
6,(x**2 + 1)**0.5*cos(x),"+ ((1)/1)*(x**0)+0
+ ((-8.00000000000000)/24)*(x**4)+0
+ ((104.000000000000)/720)*(x**6)+0
+ ((-3072.00000000000)/40320)*(x**8)+0
+ ((180224.000000000)/3628800)*(x**10)+0
+ ((-17194880.0000000)/479001600)*(x**12)+0
+ ((2402838528.00000)/87178291200)*(x**14)+0
+ ((-461183012864.000)/20922789888000)*(x**16)+0
+ ((116245425139712.)/6402373705728000)*(x**18)+0
",1.4142135623731*cos(1),integral bodes 0-1 = 0.9487528082
7,(x - 1)**2*exp(-x),"+ ((1)/1)*(x**0)+0
+ ((-3)/1)*(x**1)+0
+ ((7)/2)*(x**2)+0
+ ((-13)/6)*(x**3)+0
+ ((21)/24)*(x**4)+0
+ ((-31)/120)*(x**5)+0
+ ((43)/720)*(x**6)+0
+ ((-57)/5040)*(x**7)+0
+ ((73)/40320)*(x**8)+0
+ ((-91)/362880)*(x**9)+0
+ ((111)/3628800)*(x**10)+0
+ ((-133)/39916800)*(x**11)+0
+ ((157)/479001600)*(x**12)+0
+ ((-183)/6227020800)*(x**13)+0
+ ((211)/87178291200)*(x**14)+0
+ ((-241)/1307674368000)*(x**15)+0
+ ((273)/20922789888000)*(x**16)+0
+ ((-307)/355687428096000)*(x**17)+0
+ ((343)/6402373705728000)*(x**18)+0
+ ((-381)/121645100408832000)*(x**19)+0
",0,integral bodes 0-1 = 0.2642411177
8,exp(x),"+ ((1)/1)*(x**0)+0
+ ((1)/1)*(x**1)+0
+ ((1)/2)*(x**2)+0
+ ((1)/6)*(x**3)+0
+ ((1)/24)*(x**4)+0
+ ((1)/120)*(x**5)+0
+ ((1)/720)*(x**6)+0
+ ((1)/5040)*(x**7)+0
+ ((1)/40320)*(x**8)+0
+ ((1)/362880)*(x**9)+0
+ ((1)/3628800)*(x**10)+0
+ ((1)/39916800)*(x**11)+0
+ ((1)/479001600)*(x**12)+0
+ ((1)/6227020800)*(x**13)+0
+ ((1)/87178291200)*(x**14)+0
+ ((1)/1307674368000)*(x**15)+0
+ ((1)/20922789888000)*(x**16)+0
+ ((1)/355687428096000)*(x**17)+0
+ ((1)/6402373705728000)*(x**18)+0
+ ((1)/121645100408832000)*(x**19)+0
",E,integral bodes 0-1 = 1.7182818285
9,(x**2 + 5*x + 6)/(x + 1),"+ ((6)/1)*(x**0)+0
+ ((-1)/1)*(x**1)+0
+ ((4)/2)*(x**2)+0
+ ((-12)/6)*(x**3)+0
+ ((48)/24)*(x**4)+0
+ ((-240)/120)*(x**5)+0
+ ((1440)/720)*(x**6)+0
+ ((-10080)/5040)*(x**7)+0
+ ((80640)/40320)*(x**8)+0
+ ((-725760)/362880)*(x**9)+0
+ ((7257600)/3628800)*(x**10)+0
+ ((-79833600)/39916800)*(x**11)+0
+ ((958003200)/479001600)*(x**12)+0
+ ((-12454041600)/6227020800)*(x**13)+0
+ ((174356582400)/87178291200)*(x**14)+0
+ ((-2615348736000)/1307674368000)*(x**15)+0
+ ((41845579776000)/20922789888000)*(x**16)+0
+ ((-711374856192000)/355687428096000)*(x**17)+0
+ ((12804747411456000)/6402373705728000)*(x**18)+0
+ ((-243290200817664000)/121645100408832000)*(x**19)+0
",6,integral bodes 0-1 = 5.8375428064
10,exp(-sin(x)),"+ ((1)/1)*(x**0)+0
+ ((-1)/1)*(x**1)+0
+ ((1)/2)*(x**2)+0
+ ((-3)/24)*(x**4)+0
+ ((8)/120)*(x**5)+0
+ ((-3)/720)*(x**6)+0
+ ((-56)/5040)*(x**7)+0
+ ((217)/40320)*(x**8)+0
+ ((-64)/362880)*(x**9)+0
+ ((-2951)/3628800)*(x**10)+0
+ ((12672)/39916800)*(x**11)+0
+ ((5973)/479001600)*(x**12)+0
+ ((-309376)/6227020800)*(x**13)+0
+ ((1237173)/87178291200)*(x**14)+0
+ ((2917888)/1307674368000)*(x**15)+0
+ ((-52635599)/20922789888000)*(x**16)+0
+ ((163782656)/355687428096000)*(x**17)+0
+ ((1126610929)/6402373705728000)*(x**18)+0
+ ((-12716052480)/121645100408832000)*(x**19)+0
",exp(-sin(1)),integral bodes 0-1 = 0.6513249118
11,exp(-x**2),"+ ((1)/1)*(x**0)+0
+ ((-2)/2)*(x**2)+0
+ ((12)/24)*(x**4)+0
+ ((-120)/720)*(x**6)+0
+ ((1680)/40320)*(x**8)+0
+ ((-30240)/3628800)*(x**10)+0
+ ((665280)/479001600)*(x**12)+0
+ ((-17297280)/87178291200)*(x**14)+0
+ ((518918400)/20922789888000)*(x**16)+0
+ ((-17643225600)/6402373705728000)*(x**18)+0
",exp(-1),integral bodes 0-1 = 0.7468241207
